sample_id,Document,Human-made Reference,MLX 4-bit
28,"President Raul Castro said ""attempts to destroy the revolution"" would fail.
Mr Trump has tightened restrictions on US travel to and business with the communist island.
But the US embassy in Havana, re-opened by former President Barack Obama, is still operating.
Mr Castro was speaking in front of Cuba's national assembly. It was his first public comment on the policy changes Mr Trump announced a month ago.
State-run Cuban media quoted Mr Castro as saying that Mr Trump was using ""old and hostile rhetoric"" and had returned to ""confrontation that roundly failed over 55 years"".
He said: ""We reject the manipulation of the topic of human rights against Cuba, which can be proud of much in this area and does not need to receive lessons from the United States nor anyone.""
Mr Trump anchored his policy rollback in human rights concerns raised by political opponents of Cuba's communist government, many of whom have fled to Miami where Mr Trump announced the changes on 16 June.
Mr Castro continued: ""Cuba and the United States can cooperate and live side by side, respecting their differences. But no one should expect that for this, one should have to make concessions inherent to one's sovereignty and independence.""
Mr Castro will step down as president in seven months, but will remain the head of the country's Communist Party.",The president of Cuba has spoken publicly for the first time against US President Donald Trump's rollback of a thaw between the two countries a month ago.,"Cuba's President Raul Castro criticizes US President Donald Trump's policies on human rights, calling them ineffective and threatening to the sovereignty of the communist government."
29,"Parts of the Mariana Trench in the Pacific Ocean are up to 11 kilometres deep, so we know little about what sea life there is.
So a team has been sending down a robotic submarine called Deep Discoverer with a camera on it.
Science fans or anyone who is just curious can check out what the camera is showing online.
The three-month expedition is looking for things like fish, mud volcanoes and deep sea coral.
So far they've spotted shrimp, jellyfish and black pillow lava from an underwater eruption.",Scientists are exploring the deepest place on Earth - and streaming live video from there.,"A robotic submarine equipped with a camera has explored the Mariana Trench in the Pacific Ocean, revealing diverse marine life and geological formations."
30,"The 50-year-old Dubliner won two league titles with the Crues in 1995 and 1997 and began his managerial career at Seaview before taking charge of several League of Ireland clubs.
His most recent position was as Roddy Collins' assistant at Waterford United.
He replaces Kieran Harding, who quit last month after Carrick lost seven of their opening nine games.
Callaghan was capped for the Republic of Ireland at Under-21 level.
The defender played for Shelbourne, St Patrick's Athletic and English clubs Stoke City, Oldham, Crewe and Preston as well as having a successful spell in the Irish League with Crusaders.
After replacing Roy Walker as manager for the 1998/99 season, he gained further managerial experience in the League of Ireland with Athlone Town, Longford Town, Bohemians and UCD.
""I would like to transfer the identity of the club onto a professional platform and I look forward to working with all key stakeholders to achieve this objective,"" he said.
""It's a league I have achieved great success as a player and a manager.
""I am confident of improving the current squad's tactical, technical, psychological and physical abilities.""
Club secretary David Hilditch said he hopes the appointment ""will bring stability to matters on the field"" and develop the club.
Callaghan's first game in charge will be an Irish Premiership match at home to Glenavon on Saturday.
The club are in 11th place with four points from 11 games, with only Portadown further adrift because of their points deduction.",Former Crusaders defender and player-manager Aaron Callaghan is the new manager of Carrick Rangers.,"The newly appointed manager of Crusaders, Callaghan, aims to improve the club's identity and success in the Irish Premiership by transferring to a professional platform."
31,"They talk of a boy who dressed smartly and worked hard, but who barely said a word during his time at school.
Police officers have said he may have had a personality or developmental disorder, while one relative told ABC News he was ""obviously not well"".
Lanza appears to have kept a low profile throughout his life. US media report that unusually, his high school yearbook of 2010 contained no photograph of him.
""Camera shy"" was the comment by his entry.
Unlike the majority of his peers, Lanza apparently had no Facebook page. His online footprint was minimal. He appears not to have been known to the police.
Adam Lanza lived with his mother in a well-to-do neighbourhood of Newtown, Connecticut. The house is about five miles (8km) from Sandy Hook School, which he attended as a child.
He went on to Newtown High School, but made few friends. His mother pulled him out of the school and taught him at home because she was unhappy with the school district's plan for his education.
His aunt, Marsha Lanza, said that Adam was ""definitely the challenge to the family in that house"".
""Every family has one. I have one. They have one. â€¦ But he was a very bright boy, he was smart,"" she said.
Intelligent but shy and nervous were the most common memories of those who learnt beside him.
Richard Novia, who was head of security at Newtown High School, said it was clear Lanza had ""some disabilities"".
He was protective of his personal space and sometimes appeared to completely withdraw into himself or to ""take flight"", Mr Novia told AP, meaning his mother had to be called in to resolve the problem.
""You had yourself a very scared young boy, who was very nervous around people he could trust or he refused to speak with.""
Mr Novia helped to run a technology club, which Lanza attended, and said he had to keep a close eye on him while the club was using soldering equipment or electrical equipment.
""If that boy would've burned himself, he would not have known it or felt it physically,"" he said.
An inability to respond to sensation, and a difficult in relating to other people, could be an indication of Asperger's Syndrome (a form of autism), say experts.
They stress there is no direct link between the condition and aggression. People with the condition can sometimes struggle to express themselves in socially expected ways, however.
Olivia DeVivo was a student with Lanza in the 10th grade, at about the age of 15. She told the Associated Press he was ""very shy and didn't make an effort to interact with anybody"".
""Now looking back, it's kind of like 'OK, he had all these signs,' but you can't say every shy person would do something like this,"" she said.
A former school bus driver in the town, Marsha Moskowitz, said she remembered the Lanza boys.
""You know the trouble kids, and you figure, 'Pfft, that one's going to be trouble.' But I never would have thought that about them,"" she told the Hartford Courant newspaper.
Marsha Lanza told the Associated Press that Adam had been raised by kind, nurturing parents, who would not have hesitated to seek counselling for their son if he needed it.
The parents divorced in 2009, having separated at least three years earlier. His father, Peter Lanza, moved to Stamford, Connecticut, and recently remarried.
His mother, Nancy, remained in the family home, where it is thought she was killed by her son. She had previously worked in finance, but her divorce settlement left her well off and she stayed at home.
Friends said she was popular and sociable. An acquaintance, Jim Leff, wrote on his blog that she was ""a friend-of-friends who I periodically would briefly bump into, and who always seemed kind-hearted... and, yes, a bit high-strung. But with ample reason, as it turns out.""
Contrary to initial reports, Nancy Lanza never worked as a teacher at Sandy Hook Elementary School.
She was a gun enthusiast who is reported to have taken her sons with her to the shooting range. Adam Lanza used her legally purchased Bushmaster assault rifle to carry out his attack. He was also carrying his mother's two handguns, a Glock pistol and a Sig Sauer. Police found a shotgun in his car.
Adam Lanza's elder brother, 24-year-old Ryan, who was initially named in the media as the suspected gunman, has been helping police with their investigation. US media is reporting that he told them he had had no contact with his brother since 2010.
In a statement issued to the media, Lanza's father said: ""No words can truly express how heartbroken we are.
""We, too, are asking why. Like so many of you, we are saddened and struggling to make sense of what has transpired.""","Former classmates of Adam Lanza, 20, the man identified as the gunman in the Sandy Hook School killings, do not remember much about him.","are left to grieve the loss of our son, Adam, who was a loving, caring, thoughtful, and caring young man. We are left to grieve the loss of our son, Adam, who was a loving, caring, thoughtful, and caring young man.""
The Lanza family has been left to grieve the loss of their son, Adam, who was a loving, caring, thoughtful, and caring young man. The investigation into the shooting is ongoing."
32,"The German-based team, which won Le Mans 13 times between 2000 and 2014, finished third in 2015 and 2016, with both races won by Porsche.
Formula E, the world's first electric racing series, only started in 2014.
Audi chairman Rupert Stadler said: ""We're going to contest the race for the future on electric power.""
Ten teams - including Renault, Audi and Jaguar - currently take part in the Formula E series, with two new entries to be allocated for 2018-19 subject to the approval of the International Automobile Federation (FIA).
Formula 1 champions Mercedes are considering taking an option to join.
""As our production cars are becoming increasingly electric, our motorsport cars, as Audi's technological spearheads, have to be even more so,"" Stadler added.
Pierre Fillon, president of the Automobile Club de l'Ouest, which organises the Le Mans race, said: ""It was with emotion that we all learned this morning about Audi's decision to withdraw from endurance racing.
""Although prepared for this, we regret the departure of a major figure in endurance racing for a different adventure.""","Audi will not race in next season's World Endurance Championship, which includes the iconic Le Mans 24 Hours race, to concentrate on Formula E.","Audi has announced its withdrawal from the Formula E electric racing series, citing concerns about the future of electric-powered production cars."
33,"Giving evidence for the ex-Sunderland winger at Bradford Crown Court, Stacey Flounders said she did not see a future in their relationship.
The 26-year-old is the mother of Mr Johnson's one-year-old daughter.
Mr Johnson, 28, denies two counts of sexual activity with a child.
In the witness box, Miss Flounders described how he had told her ""everything"" about kissing a 15-year-old girl when he returned from a police station after his arrest in March last year.
Asked if he talked about other things, she said: ""The other women that he cheated on me with.""
Miss Flounders was asked by Orlando Pownall QC, defending, how many there were and she said: ""Quite a few.""
When questioned about about the future of her relationship with Mr Johnson, she replied: ""We're just going to remain friends.""
She told the jury she had stayed with him after his arrest ""because he was honest with me and I knew he was telling the truth"".
""We'd just had a daughter. I wanted us to be a family. My head was all over the place. I didn't know what was going on.""
Mr Pownall finished his questions by asking Miss Flounders if she saw any future in ""the relationship that you had"".
She replied: ""Do you mean now? Not at the minute, I don't. No.""
She was asked about messages she exchanged with Mr Johnson on the day of the incident with the girl, and she admitted she suspected him of being unfaithful but had no ""hard and fast evidence"".
She said he first told her he was going to plead guilty around September last year.
Miss Flounders said she had previously exchanged messages with the teenager involved after she recognised her as one of the fans who waited for Mr Johnson after home matches.
She said she even wished the girl happy birthday in 2014.
She added that after his arrest, Mr Johnson told her the girl was aged 16.
Kate Blackwell, QC, prosecuting, went through some of the details of the teenager's account of the incident and asked Miss Flounders whether her partner had told her about each.
Miss Blackwell asked her if he told her the pair had kissed with tongues and about various messages Mr Johnson had exchanged with the girl.
Miss Flounders agreed that he had not told her, although she said he had mentioned he asked for a ""thank you kiss"".
Earlier, Miss Flounders was asked a series of questions about her partner's pubic hair and was asked to examine a photograph.
The teenager involved in the incident has told the jury Mr Johnson was shaved in that area.
Miss Flounders said he would trim the area with scissors, but would not shave.
Mr Johnson began his football career at Middlesbrough before moving to Manchester City and then on to Sunderland in 2012.
He has previously pleaded guilty to one count of sexual activity with a child and one charge of grooming.  These relate to him kissing the girl in his Range Rover after exchanging messages with her on social media.
But he denies two further charges of sexual activity with a child relating to the same incident.","The ex-girlfriend of former England footballer Adam Johnson has told a jury they split up after he admitted cheating on her with ""quite a few"" women.","A 26-year-old mother of Mr Johnson's child, who denies sexual activity with a 15-year-old girl, states she no longer sees a future in her relationship with Mr Johnson, who is on trial for two counts of sexual activity with a child."
34,"It comes after a bidder to run University Hospital of Hartlepool's fertility services was rejected, despite already running services there.
Hartlepool Borough's council asked the area's clinical commissioning group (CCG) to explore with the bidder how it could reach the required standard.
But, the CCG said it could not lawfully treat one bidder differently.
Care Fertility, which operates 15 clinics across Britain and supports fertility services in Hartlepool, said in January it was ""disappointed not to be awarded the contract"".
The council's audit and governance committee asked the CCG to discuss with the firm how it could reduce risks highlighted in its rejected tender.
The CCG said this was not ""reasonably practicable"".
""It is simply not the role of the CCG to guide bidders to make successful tenders,"" it said.
It would be an ""unusual and unwelcome"" precedent for the CCG to advise bidders and would lead to accusations of unfairness if it did not do the same for all other bidders in the future, it said.
It also said re-tendering would take too long, could increase clinical risk and prolong the gap in the delivery of the service and there was ""no guarantee that the outcome would be any different"".
Last year, the council was granted a High Court injunction to stop the unit's closure, after which it was announced an alternative provider would be sought to run fertility services, including IVF.
The CCG had said it could not recruit enough staff to keep the unit going.",Health managers planning to close a hospital fertility unit have refused to put the service back out to tender.,"The clinical commissioning group (CCG) in Hartlepool refused to advise a fertility service bidder on how to meet the required standards, citing legal constraints."
35,"Three Victorian hotels will go to make way for a six-storey, four star hotel and two assisted-living apartment blocks, at East Cliff in Bournemouth.
English Heritage strongly objected to the scale of the development in what is a designated conservation area.
But, councillors voted seven to three in favour saying it would help tourism.
Chair of the planning board and Conservative ward councillor David Kelsey, said the buildings earmarked for demolition were nice but no longer ""necessarily functional"".
""They've come to the end of their working lives, we need to preserve the tourism aspect while improving living for older people in the town,"" he said.
""The loss of buildings and trees are always regrettable but we can't stand still, we need to move forward.""
The site on Grove Road and East Overcliff Drive will get a 90-room hotel along with a nine-storey and seven-storey building, comprising 122 assisted-living apartments.
Applicants The East Cliff Project LLP will demolish Bay View Court, The Cottonwood and the Ocean View hotels.
The council received 246 letters supporting the plans.
Forty-nine residents and the Ancient Monuments Society wrote to object to the demolition, stating that despite being altered, they still ""give a sense of the historic character of the area"".
English Heritage said the scale of the development would cause ""severe harm"" to the conservation area.","A hotel and apartment complex in Dorset has been approved despite English Heritage stating it would be a ""hammer-blow"" to the area.","Three Victorian hotels in Bournemouth are being demolished to make way for a six-story, four-star hotel and two assisted-living apartment blocks, despite objections from English Heritage and residents."
36,"The city centre road was made pedestrians only from June to November during the redevelopment of the Westgate Shopping Centre.
Now Oxfordshire County Council has agreed to continue the policy when the centre reopens because of the predicted increase in pedestrians.
The ""experimental traffic order"" still has to be signed off by the government.
The closure has also been blamed for increasing pressure on other city centre roads.
When the shopping centre is finished next year there are expected to be 11 million more people using it.
Council officers have estimated the number of pedestrians using the road will increase by 145% from 4,000 per hour up to 9,800 per hour.
They have also calculated that at present, 48 buses per hour use the road.
Officers said in their report that assurances from the bus companies ""do not remove our concern over pedestrian safety"".
But transport boss David Nimmo Smith said he was worried it would cause increased bus traffic in other roads such as St Aldates, which he described as an ""architectural gem"".
The Secretary of State for Transport will now have to approve the plan before it comes into effect.",Councillors have voted to ban buses and taxis from Queen Street in Oxford for six months because of safety concerns.,"The Westgate Shopping Centre redevelopment in Oxfordshire has led to the closure of the city centre road from June to November to reduce pedestrian traffic, with plans to extend the policy to all year-round due to predicted increases in foot traffic."
37,"The 24-year-old has agreed a two-year-deal and will arrive following his commitments with the Stormers and Western Province in South Africa.
He is the son of former Springbok Guy Kebble and won the 2012 Under-20s World Championship with South Africa.
""I try and bring an edge to the game and make an impact,"" Kebble told the Pro12 club's website.
""I've watched all of the Glasgow matches in the Champions Cup this season and northern hemisphere rugby is getting very exciting. I'm looking forward to playing in a competitive European league.
""I know Dave Rennie is one of the best coaches in the world, so it's an exciting prospect to work under him next season.""
Kebble will join current team-mate Huw Jones in Glasgow, with the Scotland centre signing a two-year contract with the Warriors earlier this month.
""Huw and I live together in Cape Town,"" he explained. ""We didn't really talk about it too much before it happened, but now it's nice to know there will be a familiar face in Glasgow.""
Last week, BBC Scotland revealed Kebble's expected arrival, with the new recruit considered a project player by Scottish Rugby, who have monitored him for several years.",Glasgow Warriors have confirmed the signing of loose-head prop Oliver Kebble for next season.,"Guy Kebble, the son of a former Springbok player, has signed a two-year contract with Glasgow Warriors to play in the Pro12 club's European league."
38,"Adam Ashe, Stuart Hogg and Henry Pyrgos have all committed to Warriors until 2019.
However, fellow Scotland internationals Mark Bennett, Alex Dunbar, Tommy Seymour and Josh Strauss are out of contract this summer.
""It's really important,"" said Blair of the need to arrange new deals.
""It's difficult with the rugby contracts, you don't often get contracts longer than two years so it seems that every year there's half the squad who are pretty much out of contract. We'll be working hard to keep the guys here.
""There's a lot of money being thrown around in England and France but the product that Glasgow can give - the coaching team, the crowd that we've got, the fact that we beat Racing home and away, we're playing against the best teams in Europe and doing well - hopefully that's a big pull for the guys as well.""
Dave Rennie will replace Gregor Townsend as Glasgow head coach this summer when the latter becomes Scotland head coach.
""Dave Rennie's going to have a say in what's happening here,"" said former Scotland and Edinburgh scrum-half Blair.
""He's watched a lot of the games from the last two or three seasons to get a handle on what players we've got here and what he likes and what he could potentially bring in.""
American lock Greg Peterson, like Ashe, Hogg and Pyrgos, has signed a new deal at Scotstoun and is nearing a return to the first team following long-term injury, along with Tjiuee Uanivi, Scott Cummings and Richie Vernon.
""We're expecting to see them back in the next two or three weeks,"" explained Blair.
""They're taking part in all the non-contact stuff so they're progressing well.
""Pete Horne's showing good progress. He's another couple of weeks before he can step up and we'll see how he reacts to that.
""It's good timing for us. We've got some good quality players coming back. They'll be in a good place when they come back in.
""We've got some big games coming up and some big games during the Six Nations as well once the guys are away on [Scotland duty].""
Glasgow host Cardiff Blues in the Pro12 on Saturday with the Warriors, who are fifth, nine points ahead of the Welsh province.
European Champions Cup encounters with Munster and Leicester Tigers follow, with Townsend's men currently top of Pool 1.
""We're really pleased with how things have gone recently,"" said Blair. ""We've done well to be where we are, despite having the home losses [earlier this season].
""We're in a reasonable position. We're in a better position than we were this time last year.""
Meanwhile, Glasgow say Ryan Grant remains their player after Brive announced he was joining the French Top 14 side on loan.
And Blair said: ""Ryan's said that's not the situation at the moment. He's training with us today, training well.""",Glasgow Warriors assistant coach Mike Blair believes it is vital the Pro12 club sign up more of their squad on new contracts.,"Glasgow Warriors have secured contracts for Adam Ashe, Stuart Hogg, Henry Pyrgos, Mark Bennett, Alex Dunbar, Tommy Seymour, Josh Strauss, and other players, while Dave Rennie replaces Gregor Townsend as head coach."
39,"There have been ongoing industrial problems in the school for months.
The panel consists of leading educationalist Prof Sir Robert Salisbury, trade unionist John Corey and Belfast Metropolitan College's principal Marie-ThÃ©rÃ¨se McGivern.
Education Minister John O'Dowd has said he wants them to complete the investigation by early summer.
The secondary school, in the Andersonstown area of west Belfast, has 1,100 pupils.
About a third of its 70-strong teaching staff were absent for a period prior to Easter, and, in an unusual move last month, an associate principal was appointed to the school.
A group representing some parents also held a number of protests to express their concern about how the disputes were affecting their children.
Mr O'Dowd said that he wanted the panel to investigate events in the school, and make recommendations ""to ensure the school's future"".
""I consider the panel members to be eminently well qualified and experienced,"" he said.
""My priority continues to be to the pupils at the school and this investigation will give pupils, parents, staff and their representatives, and all those involved with the governance of the school, the opportunity to express their view.""
The investigation will look at staff relationships, the role of senior leadership, governance of the school and the impact of the ongoing disputes on pupils.
Mr Corey was general secretary of Northern Ireland Public Service Alliance (NIPSA) union from 2003-10 and is currently a member of the Northern Ireland Human Rights Commission.
Prior to her role at Belfast Metropolitan College, Ms McGivern was director of development at Belfast City Council.
Sir Robert, meanwhile, recently chaired the literacy and numeracy task force in Northern Ireland and is a former professor of education at the University of Nottingham.
The National Association of Schoolmasters and Union of Women Teachers (NASUWT), which represents almost half the teachers at De La Salle College, welcomed the appointments.
It said the move ""should reassure all partners in the De La Salle community that Minister O'Dowd is committed to finding a robust resolution to the recent period of challenge"".
However, it said the terms of reference would be ""critical to the success or otherwise of the investigation"".
The NASUWT also said it will ""seek assurances from the panel that their work will not cause any further disruption"".
Jim Clarke, chief executive of the Council for Catholic Maintained Schools (CCMS), also welcomed the appointment of the panel.
""The background and experience of those who will be carrying out the investigation gives confidence to the process,"" he said.
""CCMS will continue with its ongoing work with the other interests through the agreed strategy. It remains focused on the needs and interests of the pupils at the school.""",A three-person panel has been appointed to carry out an investigation into De La Salle College in west Belfast.,"The panel, comprising educational experts, unionists, and a school principal, is investigating ongoing industrial problems at a secondary school in Belfast, aiming to provide recommendations to improve governance and school quality."
40,"The Bulls' fate has been in the balance since the full extent of their financial worries emerged in the weeks since their dramatic final-day escape sent Chester down instead.
Chester have been reinstated as a Conference Premier club and Hayes & Yeading will stay in Conference South.
""Hereford United can have no complaints. The Conference bent over backwards to help them.
""I described the news of the board's offer of an extension on Friday evening as not so much 'last chance saloon', but rather 'last orders in last chance saloon' and United have seemingly chosen not to offer the league the assurances they were seeking.
""It is a desperately sad day for all Hereford supporters, but the Bulls have nobody to blame but themselves.
""You have to feel very sorry for those players who gave their all at Aldershot on the last day of the season to keep Hereford in the Conference Premier. Sadly, those efforts now count for nothing.""
The Conference had originally offered a payment deadline of Thursday, 5 June.
The club's debt to their football creditors, including former boss Martin Foyle, members of the current squad, other club staff and clubs from whom the Bulls loaned players during the 2013-14 season, added up to £148,000.
That deadline was extended three times, to Friday, 6 June, then again to Saturday, 7 June and for a third time until Thursday, 12 June.
But it became clear on Tuesday that the Bulls, taken over last week by London businessman Tommy Agombar, would not make that deadline - and the Conference has now acted.
The last team to be expelled from the Conference was Chester City in February 2010.
They reformed as Chester FC two months later - and it is now they who have taken the Bulls' place, following a dramatic final day of the season when, almost simultaneously, a late Hereford winning goal at Aldershot and a Salisbury equaliser at Chester kept the Bulls up.
By way of an added twist, Chester announced on Tuesday that Kingsley James, who was in Hereford's team that day, has moved to Bumpers Lane.
26 April - Hereford stay up on final day of Conference Premier season
29 April - Hereford United Supporters' Trust make offer to buy the club for £1 and clear their £220,000 debts
22 May -  Former Bulls boss Martin Foyle serves winding-up petition over unpaid wages, after players reveal they have not been fully paid too
2 June - Case adjourned for 28 days at Royal Court of Justice
3 June - Tommy Agombar takes over as new Hereford owner
5 June - Hereford fail to meet 17:00 BST deadline to pay football creditors, and are threatened with expulsion, subject to Conference board vote
6 June - Hereford meet with Conference board and are given new deadline of 7 June. The deadline is moved to 9 June, then 12 June
10 June - Hereford expelled from Football Conference
And former Hereford boss Foyle, now manager at Southport, chose the same day to sign another player from that same Bulls team, keeper Dan Lloyd-Weston, who opted to leave as he was still owed part of his salary.
When last season ended, despite months of fundraising efforts by fans, as well as generous donations from fans of other clubs, the Bulls faced debts of approximately £225,000.
They still owe over £70,000 to clear the latest PAYE tax demand from HM Revenue and Customs (HMRC).
An offer was made by one of the club's main fan bodies, the Hereford United Supporters' Trust (HUST), on the back of pledges made by their backers, to buy the club for £1 and take over the running at Edgar Street.
But, although chairman David Keyte held talks with them, they were not the preferred option.
Keyte was reported to have been in talks with three different rival bidders before Agombar's takeover.
The downward spiral of Hereford's financial situation since being relegated from the Football League in May 2012 has been exacerbated by falling gates.
The average attendance for the 2013-14 season at Edgar Street was 1,758, little over half the average gate they attracted of 3,270 in League Two just five years ago.",Hereford United have been expelled from the Football Conference following the club's failure to pay their bills.,"The Bulls, facing financial troubles, were expelled from the Conference Premier league by the Conference board despite making last-minute attempts to meet their debt obligations."
41,"His grandmother offered him a plate of grapes, but she doesn't remember whether Faizan had it. The son of a farmer then put on his pheran, the woollen cape-like garment Kashmiris wear, and quietly left for his Sunday lessons.
A few hours later, Faizan lay dead near a sun-baked school playground, ringed by bare walnut and willow trees. Paramilitary soldiers, eyewitnesses alleged, had shot him in the back of his head.
Carrying a packet of biscuits, he was returning home on a bright, nippy morning when he encountered a throng of local people protesting against Indian rule near the school, where polling was taking place for a parliamentary by-election.
Eyewitnesses say four shots rang out of the single-storey, squat school building which, according to some reports, was being pelted with stones thrown by protesters from a hill above and from the road in front.
Faizan possibly halted to find out what the commotion was all about, and was hit by a bullet. Two neighbours ran up to his home to deliver the news. His mother had sprinted down to the playground, hugged her bleeding son and let others take him to hospital.
""I knew he was gone,"" Zarifa told me.
A heart-wrenching video recorded by a villager on his mobile phone minutes after the killing shows a wailing man cradling the dead boy, blood streaming down his broken face, in a packed vehicle taking him to the nearest hospital. There, the doctors declared him dead.
Faizan's final journey is recorded on another mobile phone video: his slight frame, draped in white, bobbing slightly on a hospital cot, carried through a sea of weeping, agitated mourners extolling their latest ""martyr"". By late afternoon, his body was lowered into the grave near his village, Dalwan.
Faizan was among the eight people killed on Sunday when paramilitary soldiers fired bullets and shotgun pellets at those protesting against Indian rule at polling centres near Srinagar, the summer capital. Election authorities say some 170 people, including 100 security personnel, were injured in about 200 incidents of stone pelting and violent protests on the day.
The voter turnout in Sunday's election was an abysmal 7.1% - the lowest in decades - and came as a huge setback for the region's mainstream parties.
The soldiers had been brought in from other states to secure polling stations and may have been unprepared to deal with ""protests and provocation"" in a complex conflict zone like Kashmir, a senior official told me.
One report said the police had registered complaints against the paramilitary forces for firing into the crowds.
Separatist groups had rejected the elections and urged voters to boycott Sunday's poll, which took place after a politician resigned over what he described as the ""anti-people"" agenda of the Indian government.
Disillusioned voters - even in relatively peaceful places like Dalwan where people turned out to cast their votes enthusiastically in previous elections - generally stayed away.
Why Faizan was killed on a day when local voters rejected the ballot is not clear.
By all accounts, he was not pelting stones or hurling abuse at the soldiers. One report said police fired tear gas shells to keep the protesters away from the empty polling station, but the soldiers opened fire.
Whatever it is, Faizan became another grisly statistic in Kashmir's unending tragedy.
A picture taken by his friend on his mobile phone during their winter break shows the shy-looking boy - ""he would often top his class, and he was very knowledgeable about the world,"" the friend said - clad in a woollen cap and collared jacket, peering uneasily into the camera.
""He was quiet and studious, he was doing well in school. He played cricket, and counted [former Indian captain] MS Dhoni as his favourite cricketer. He wanted to become a doctor,"" a cousin told me, when I visited the family.
Grief is the price one pays for love. Zarifa's lament for her dead son filled the still air inside a tent outside their home where local women had gathered to mourn.
""My son, my son, where will I find you now?"" she cried, again and again.
Then she stepped out of the tent, entered her home and joined her husband in a dank, cold room. He sat there, stoic and numb, surrounded by mourners, and gazed vacantly at the pastel pink walls. The room had a red carpet and red window curtains.
""The blood of a martyr never goes waste,"" said Fayaz Ahmad Dar. ""One day, the blood of innocents will help us gain our freedom [from Indian rule].""
A brief silence followed. Zarifa broke it, bemoaning the loss of her boy.
""I am looking at your books, I am looking at your school bags. How will I touch your books again, my son? Everybody would talk about your intelligence, how you would answer every question with so much wit.""
Outside the secondary school - Enter to learn, Leave to serve, its motto, is engraved on the walls - a group of young men gathered later in the day. Their eyes seethed in anger. They spoke about frustration, alienation, desperation, humiliation and hopelessness.
They said they had lost their fear of life. They insisted that they helped rebels because ""they are our brothers and don't kill civilians"" and are ""fighting for freedom"".
More than half of them raised their hands when asked whether they had pelted stones at Indian forces.
""We are not safe in our own homes, we are not safe on streets. They are killing little boys now. Life is uncertain,"" said Feroze Ali, a school clerk.
Since February alone, some two dozen civilians have been killed during gunfights between armed rebels and security forces. The security forces have accused civilians of helping rebels escape.
The army says it has tried to reach out and engage with civilians through its 29 schools, youth clubs and cricket tournaments.
Recently some 19,000 Kashmiri young men applied for a few hundred vacancies in the army.
""Provocation and panic can lead to accidents. Security forces often fire when they face life threatening situations. But protecting civilians remains our first priority in this situation. When a civilian dies, it hurts us,"" an army officer told me.
The region has seen heightened tension and increased unrest since July when influential militant Burhan Wani was killed by Indian forces. More than 100 civilians lost their lives in clashes with protesters during a four-month-long lockdown, including a 55-day-curfew, in the restive Muslim-majority valley.
Kashmir, clearly, appears to be teetering on the brink of an open public revolt against Indian rule.
Many say the federal government's near-complete lack of engagement and dialogue with local stakeholders and Pakistan, a complete mistrust of the local government and a lack of development and jobs have left most people jittery and alienated.
Militancy continues to be at low ebb - there are an estimated 250 militants in the state now of which 150 are local - compared to several thousand during the peak of insurgency in the 1990s.
But young Kashmiris - more than 60% of the men in the valley are under 30, and more than 40% of men in Kashmir are jobless - are restless and angry. The local political parties are in danger of ""becoming irrelevant"", as a leader of an opposition party told me.
""This is the worst situation that I have seen. Earlier, it was a movement led by the militants. Now it is being led by the people,"" says Feroze Ali, 35, a schoolteacher.
""India needs to be worried, very worried about this.""","The day 12-year-old Faizan Fayaz Dar died, he woke up in the morning in his hilltop home in Budgam in Indian-administered Kashmir, had a cup of salted tea, recited the Koran and pottered around in the kitchen where his mother prepared breakfast for the family.","the pastel pink walls, but I cannot see my son,"" she said, sobbing again. ""He was a good boy, a good son, a good husband, a good father, a good brother, a good friend, a good son-in-law, a good son-in-law, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a good son, a"
42,"Neil Trotter admitted taking pictures of women at Edinburgh's Waverley Station and Glasgow's Buchanan Galleries between June and September 2014.
A sheriff told the 54-year-old, from Falkirk, that ""women should be able to walk without fear"" in public places.
He was also placed on the sex offenders register for 10 years.
A previous hearing at Edinburgh Sheriff Court was told that Trotter travelled into Edinburgh daily by train to go to work.
On Monday 29 September, a fellow passenger noted him walking in ""a curious, a sinister manner"" at Waverley Station, ""clearly making an effort to get very close to a female ahead of him"" on the escalator.
Fiscal depute Aidan Higgins, prosecuting, told the court that ""it was clear he was using his phone to get under the lady's skirt, taking photographs"".
The commuter reported his concerns to British Transport Police and Trotter was identified from CCTV footage. He was detained as he left the station the following day.
Examination of Trotter's phone and his home computer established that he had been using his mobile on various days between 11 June and 29 September, with 22 videos showing the camera had been directed under women's skirts.
Defence solicitor Neil Hay told the court Trotter was ""most ashamed of his actions"", and ""well aware his behaviour is unacceptable"".
He said his client had ""lost his career, brought his family to the brink of financial ruin and brought shame and humiliation to himself and those very close to him"".
Sentencing him to 18 months in prison, Sheriff Peter Braid told Trotter: ""You have pled guilty to taking images of women in a clandestine manner, prompted by voyeuristic impulses for your own sexual gratification.
""This involved significant planning committed over a period of more than three months in public places where women should be able to walk without fear.
""The repugnance society must feel towards these offences is such that, in my view, there is no alternative to a custodial sentence, in retribution and to deter others.""",A former senior information officer for the Scottish government has been jailed for 18 months for using his mobile phone to take photos up women's skirts.,"A man, identified as Neil Trotter, admitted taking indecently lascivious photographs of women at public places in Scotland, leading to a custodial sentence of 18 months."
